"name","capital"
"Algeria","Algiers"
"Angola","Luanda"
"Benin","Porto-Novo"
"Botswana","Gaborone"
"British Indian Ocean Territory","Diego Garcia"
"Burkina Faso","Ouagadougou"
"Burundi","Bujumbura"
"Cameroon","Yaoundé"
"Cape Verde","Praia"
"Central African Republic","Bangui"
"Chad","N'Djamena"
"Comoros","Moroni"
"Djibouti","Djibouti"
"DR Congo","Kinshasa"
"Egypt","Cairo"
"Equatorial Guinea","Malabo"
"Eritrea","Asmara"
"Eswatini","Lobamba"
"Ethiopia","Addis Ababa"
"Gabon","Libreville"
"Gambia","Banjul"
"Ghana","Accra"
"Guinea","Conakry"
"Guinea-Bissau","Bissau"
"Ivory Coast","Yamoussoukro"
"Kenya","Nairobi"
"Lesotho","Maseru"
"Liberia","Monrovia"
"Libya","Tripoli"
"Madagascar","Antananarivo"
"Malawi","Lilongwe"
"Mali","Bamako"
"Mauritania","Nouakchott"
"Mauritius","Port Louis"
"Mayotte","Mamoudzou"
"Morocco","Rabat"
"Mozambique","Maputo"
"Namibia","Windhoek"
"Niger","Niamey"
"Nigeria","Abuja"
"Republic of the Congo","Brazzaville"
"Reunion","Saint-Denis"
"Rwanda","Kigali"
"Sao Tome and Principe","Sao Tome"
"Senegal","Dakar"
"Seychelles","Victoria"
"Sierra Leone","Freetown"
"Somalia","Mogadishu"
"South Africa","Pretoria"
"South Sudan","Juba"
"Sudan","Khartoum"
"Tanzania","Dodoma"
"Togo","Lomé"
"Tunisia","Tunis"
"Uganda","Kampala"
"Western Sahara","Laayoune"
"Zambia","Lusaka"
"Zimbabwe","Harare"
