"name","capital"
"Anguilla","The Valley"
"Antigua and Barbuda","Saint John's"
"Aruba","Oranjestad"
"Bahamas","Nassau"
"Barbados","Bridgetown"
"Belize","Belmopan"
"Bermuda","Hamilton"
"British Virgin Islands","Road Town"
"Canada","Ottawa"
"Cayman Islands","George Town"
"Costa Rica","San José"
"Cuba","Havana"
"Curacao","Willemstad"
"Dominica","Roseau"
"Dominican Republic","Santo Domingo"
"El Salvador","San Salvador"
"Greenland","Nuuk"
"Grenada","St. George's"
"Guadeloupe","Basse-Terre"
"Guatemala","Guatemala City"
"Haiti","Port-au-Prince"
"Honduras","Tegucigalpa"
"Jamaica","Kingston"
"Martinique","Fort-de-France"
"Mexico","Mexico City"
"Montserrat","Plymouth"
"Nicaragua","Managua"
"Panama","Panama City"
"Puerto Rico","San Juan"
"Saint Barthelemy","Gustavia"
"Saint Kitts and Nevis","Basseterre"
"Saint Lucia","Castries"
"Saint Martin","Marigot"
"Saint Pierre and Miquelon","Saint-Pierre"
"Saint Vincent and the Grenadines","Kingstown"
"Sint Maarten","Philipsburg"
"Trinidad and Tobago","Port of Spain"
"Turks and Caicos Islands","Cockburn Town"
"United States","Washington D.C."
"United States Minor Outlying Islands",""
"United States Virgin Islands","Charlotte Amalie"
